开课日期,课程,期号,城市,导师,上课人数,上课企业数
2024/6/29,极简项目管理,59,杭州,郭嘉,49,27
2024/6/29,品牌增长与全域营销,18,杭州,陈陶琦,37,20
2024/7/6,供应链管理,21,杭州,高上,57,24
2024/7/6,流程型组织,90,上海,蒋伟良,115,42
2024/7/11,超级转化率,8,杭州,陈勇,32,8
2024/7/13,做实企业文化,78,上海,欧德张,45,28
2024/7/18,月度经营分析会,3,上海,祝鹏程,67,32
2024/7/20,事业战略,21,上海,邓良,27,20
2024/7/25,需求预测管理&库存管控,15,杭州,高上,38,7
2024/7/27,教练式领导力,76,杭州,季益祥,50,35
2024/7/27,业务领先战略,33,上海,汪瀛,42,24
2024/8/3,品牌体验设计,60,上海,汪志谦,55,29
2024/8/8,人人都是自己的CEO,2,上海,于学航,46,23
2024/8/9,超级面试官,17,上海,川老师,50,33
2024/8/10,B2B策略销售,31,上海,崔建中,50,25
2024/8/10,卓越经营者,15,杭州,祝鹏程,40,29
2024/8/16,月度经营分析会,7,杭州,祝鹏程,66,27
2024/8/17,OGSM业务规划与执行,50,杭州,袁园,51,21
2024/8/23,财税筹划实战,9,杭州,徐薇,41,25
2024/8/24,超级转化率,10,上海,陈勇,31,9
2024/8/24,创始人财务进阶,52,杭州,徐薇,36,20
2024/8/24,极简项目管理,61,上海,郭嘉,55,21
2024/8/31,战略设计总纲课,1,上海,刘绍荣,25,17
2024/8/31,组织设计总纲课,9,上海,蒋伟良,67,33
2024/9/5,业务管理者养成,48,上海,汤君健,39,21
2024/9/7,科学分钱,103,上海,卞志汉,48,27
2024/9/13,领导者的沟通力进阶,1,杭州,赵瑾,42,13
2024/9/19,从用户研究到产品创新,13,杭州,科叔,42,24
2024/9/19,品牌增长与全域营销,21,上海,陈陶琦,42,23
2024/9/21,供应链管理,25,上海,高上,66,26
2024/9/21,流程型组织,92,上海,蒋伟良,77,38
2024/9/26,超级转化率,12,杭州,陈勇,28,10
2024/10/10,全面预算管理,1,上海,杨轶,62,25
2024/10/12,科学分钱,107,杭州,卞志汉,46,25
2024/10/12,卓越经营者,17,上海,祝鹏程,31,20
2024/10/17,高效客户拜访,7,上海,崔建中,37,16
2024/10/17,月度经营分析会,10,上海,祝鹏程,32,21
2024/10/19,财务BP能力提升,5,杭州,徐薇,39,25
2024/10/19,极简项目管理,63,上海,郭嘉,21,13
2024/10/19,教练式领导力,79,杭州,季益祥,62,17
2024/10/24,业务优化与利润提升,2,上海,张鹏,27,13
2024/10/25,超级面试官,19,上海,川老师,29,21
2024/10/26,跨境爆品打造,8,杭州,张雷,21,11
2024/10/26,升级定位与品牌战略,62,上海,冯卫东,38,25
2024/10/26,战略绩效设计,29,上海,陈雨点,28,17
2024/10/31,OGSM业务规划与执行,53,上海,袁园,56,20
2024/11/1,1号找人官,2,上海,刘玖锋,36,25
2024/11/2,品牌体验设计,62,上海,汪志谦,58,25
2024/11/2,人人都是自己的CEO,6,上海,于学航,22,17
2024/11/2,做实企业文化,80,杭州,欧德张,59,14
2024/11/9,B2B销售业绩管理,22,上海,崔建中,41,15
2024/11/16,极简项目管理,65,杭州,郭嘉,53,23
2024/11/23,创始人财务进阶,56,上海,徐薇,25,21
2024/11/28,科学分钱,110,上海,卞志汉,42,24
2024/11/29,月度经营分析会,13,上海,祝鹏程,65,27
2024/11/30,超级转化率,15,上海,陈勇,33,14
2024/11/30,供应链管理,27,杭州,高上,46,19
2024/12/7,B2B策略销售,32,上海,崔建中,25,16
2024/12/14,教练式领导力,81,上海,季益祥,29,20
2024/12/14,流程型组织,95,上海,蒋伟良,81,34
2024/12/21,品牌体验设计,63,上海,汪志谦,42,19
2024/12/21,品牌增长与全域营销,23,杭州,陈陶琦,27,17
2025/1/4,OGSM业务规划与执行,57,上海,袁园,90,31
2025/1/4,科学分钱,112,上海,卞志汉,45,26
2025/2/21,月度经营分析会,18,上海,祝鹏程,67,44
2025/2/22,OGSM业务规划与执行,58,上海,袁园,47,19
2025/2/27,1号找人官,5,杭州,刘玖锋,55,33
2025/2/27,战略绩效设计,31,上海,陈雨点,42,30
2025/2/28,超级面试官,22,杭州,川老师,71,32
2025/3/1,供应链管理,29,杭州,高上,35,16
2025/3/1,组织设计总纲课,12,上海,蒋伟良,61,31
2025/3/6,科学分钱,113,上海,卞志汉,36,28
2025/3/6,业务管理者养成,52,上海,汤君健,47,22
2025/3/8,品牌体验设计,65,上海,汪志谦,55,32
2025/3/15,产品开发管理IPD,41,上海,刘红革,38,16
2025/3/15,极简项目管理,68,杭州,郭嘉,51,27
2025/3/15,业务优化与利润提升,6,上海,张鹏,62,31
2025/3/21,做对股权激励,1,上海,罗毅,25,21
2025/3/22,1号找人官,7,上海,刘玖锋,34,26
2025/3/22,B2B策略销售,33,上海,崔建中,40,15
2025/3/22,创始人财务进阶,58,杭州,徐薇,35,18
2025/3/22,流程型组织,97,上海,蒋伟良,81,26
2025/3/27,AI驱动业务提效,1,杭州,董俊豪,50,30
2025/3/28,超级面试官,26,上海,川老师,32,14
2025/3/29,教练式领导力,83,杭州,季益祥,52,16
2025/3/29,品牌增长与全域营销,25,上海,陈陶琦,27,17
2025/4/12,OGSM业务规划与执行,61,杭州,袁园,47,15
2025/4/12,供应链管理,31,上海,高上,59,22
2025/4/12,战略设计总纲课,7,上海,刘绍荣,23,15
2025/4/18,月度经营分析会,25,杭州,祝鹏程,82,34
2025/4/19,超级转化率,18,上海,陈勇,27,10
2025/4/19,极简项目管理,69,上海,郭嘉,59,18
2025/4/19,做实企业文化,81,上海,欧德张,36,22
2025/4/24,人人都是自己的CEO,10,上海,于学航,47,24
2025/4/26,B2B销售业绩管理,25,上海,崔建中,42,18
2025/4/26,业务领先战略,38,上海,汪瀛,47,20
2025/5/8,AI驱动业务提效,3,上海,董俊豪,29,19
2025/5/8,财务BP能力提升,8,上海,徐薇,34,22
2025/5/10,教练式领导力,86,上海,季益祥,26,16
2025/5/10,业务优化与利润提升,8,上海,张鹏,32,20
2025/5/17,品牌体验设计,67,上海,汪志谦,44,22
2025/5/17,战略级项目管理,5,上海,郭嘉,49,20
2025/5/23,月度经营分析会,27,上海,祝鹏程,45,26
2025/5/24,流程型组织,99,上海,蒋伟良,35,18
2025/6/5,科学分钱,117,上海,卞志汉,41,26
